,Product,SKU,MPN,RRP,CurrentPrice,URL
211,Clogau Violet Pendant,13469452,3SFFLP8,£139.00,£83.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-violet-pendant/13469452.html
212,Heartstrings Earrings,13469453,3SHSE01,£89.00,£53.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/heartstrings-earrings/13469453.html
213,Hummingbird Stud Earrings,13469454,3SHUBRE,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/hummingbird-stud-earrings/13469454.html
214,Wru I Am Wales Ring,13469455,3SIAWR02,£189.00,£113.40,https://www.clogauoutlet.co.uk/wru-i-am-wales-ring-sterling-silver-gold/13469455.html
215,Clogau I Am Wales Rugby Ball Cufflinks,13469467,3SIAWRBCL,£310.00,£186.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-i-am-wales-rugby-ball-cufflinks/13469467.html
216,Clogau Out of This World Inner Charm Pendant,13469468,3SICLP25,£219.00,£131.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-out-of-this-world-inner-charm-pendant/13469468.html
217,Clogau Awelon Inner Charm Pendant,13469469,3SICLP26,£199.00,£119.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-awelon-inner-charm-pendant/13469469.html
218,Clogau Hot Air Balloon Journey Pendant,13469470,3SJRHBP,£199.00,£119.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-hot-air-balloon-journey-pendant/13469470.html
219,Clogau Globe Journey Pendant,13469471,3SJRLGP,£189.00,£113.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-globe-journey-pendant/13469471.html
220,Clogau Ships Wheel Journey Pendant,13469472,3SJRSWP,£179.00,£107.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-ships-wheel-journey-pendant/13469472.html
221,Clogau Tree of Life Clover Pendant,13469473,3SLKP,£219.00,£131.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-clover-pendant/13469473.html
222,Tree of Life® Clover Stud Earrings,13469474,3SLKSE,£129.00,£77.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-clover-stud-earrings/13469474.html
223,Clogau White Topaz Star Milestones Bead Charm,13469475,3SLLC267,£109.00,£65.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-white-topaz-star-milestones-bead-charm/13469475.html
224,Clogau Welsh Poppy Milestones Bead Charm,13469476,3SLLC332,£169.00,£101.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-welsh-poppy-milestones-bead-charm/13469476.html
225,Clogau Cwtch Milestones Bead Charm,13469477,3SLLC509,£99.00,£59.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-cwtch-milestones-bead-charm/13469477.html
226,Clogau Cariad Milestones Bead Charm,13469478,3SLLC63,£89.00,£53.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-cariad-milestones-bead-charm/13469478.html
227,Tree of Life® Love Vine Drop Earrings,13469479,3SLVNE,£109.00,£65.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-love-vine-drop-earrings/13469479.html
228,Tree of Life® Love Vine Ring,13469480,3SLVNR,£89.00,£53.40,https://www.clogauoutlet.co.uk/tree-of-life-love-vine-ring-sterling-silver-gold/13469480.html
229,Clogau Snowdrop Pendant,13469489,3SLWFP2,£139.00,£83.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-snowdrop-pendant/13469489.html
230,Clogau Leather Bracelet,13469490,3SMTBCBR,£250.00,£150.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-leather-bracelet/13469490.html
231,Clogau Triple Charm Bracelet,13469491,3SMTCBR,£219.00,£131.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-triple-charm-bracelet/13469491.html
232,Clogau Twist Bangle,13469492,3SMTSBG,£300.00,£180.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-twist-bangle/13469492.html
233,Lady Snowdon Stud Earrings,13469493,3SNLE,£159.00,£95.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/lady-snowdon-stud-earrings/13469493.html
234,Lady Snowdon Ring,13469494,3SNLR,£149.00,£89.40,https://www.clogauoutlet.co.uk/lady-snowdon-ring-sterling-silver-gold/13469494.html
235,Clogau Tree of Life Aventurine Pendant,13469505,3SNTLCAP,£149.00,£89.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-aventurine-pendant/13469505.html
236,Tree of Life® One Ring,13469506,3SONR4,£99.00,£59.40,https://www.clogauoutlet.co.uk/tree-of-life-one-ring-sterling-silver-gold/13469506.html
237,Out of This World Drop Earrings,13469518,3SOTWE,£149.00,£89.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/out-of-this-world-drop-earrings/13469518.html
238,Out of This World Ring,13469519,3SOTWR1,£149.00,£89.40,https://www.clogauoutlet.co.uk/out-of-this-world-ring-sterling-silver-gold/13469519.html
239,Clogau Welsh Royalty Anniversary White Topaz Pendant,13469531,3SQAP,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-welsh-royalty-anniversary-white-topaz-pendant/13469531.html
240,Royal Crown Ring,13469532,3SRCSR,£129.00,£77.40,https://www.clogauoutlet.co.uk/royal-crown-ring-sterling-silver-gold/13469532.html
241,Tudor Court Earrings,13469545,3STDCDE,£169.00,£101.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tudor-court-earrings/13469545.html
242,Clogau Tudor Court Pendant,13469546,3STDCP,£169.00,£101.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tudor-court-pendant/13469546.html
243,Tudor Court Ring,13469547,3STDCR,£99.00,£59.40,https://www.clogauoutlet.co.uk/tudor-court-ring-sterling-silver-gold/13469547.html
244,Clogau Tree of Life Cross Pendant,13469559,3STLCDP,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-cross-pendant/13469559.html
245,Heart of Wales Ring,13469560,3STLPBR,£209.00,£125.40,https://www.clogauoutlet.co.uk/heart-of-wales-ring-sterling-silver-gold/13469560.html
246,Tree of Life® Vine Ring,13469572,3STLWPVR,£119.00,£71.40,https://www.clogauoutlet.co.uk/tree-of-life-vine-ring-sterling-silver-gold/13469572.html
247,Clogau Tree of Life Cufflinks,13469582,3STOLCL,£169.00,£101.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-cufflinks/13469582.html
248,Clogau Tree of Life Diamond Cufflinks,13469583,3STOLDCL,£260.00,£156.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-diamond-cufflinks/13469583.html
249,Tree of Life® Drop Earrings,13469584,3STOLEE,£139.00,£83.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-drop-earrings/13469584.html
250,Clogau Tree of Life Pendant,13469585,3STOLEP,£169.00,£101.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-pendant/13469585.html
251,Clogau Tree of Life Insignia Cufflinks,13469586,3STOLMNCL,£229.00,£137.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-insignia-cufflinks/13469586.html
252,Tree of Life® Insignia Stud Earrings,13469587,3STOLMNE,£99.00,£59.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-insignia-stud-earrings/13469587.html
253,Clogau Tree of Life Insignia Friendship Bracelet,13469588,3STOLMNFBR,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-insignia-friendship-bracelet/13469588.html
254,Clogau Tree of Life Insignia Pendant,13469589,3STOLMNP,£159.00,£95.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-insignia-pendant/13469589.html
255,Tree of Life® Pearl Drop Earrings,13469590,3STOLPE5,£99.00,£59.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-pearl-drop-earrings/13469590.html
256,Clogau Tree of Life Pearl Pendant,13469591,3STOLPP4,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-pearl-pendant/13469591.html
257,Tree of Life® White Topaz Earrings,13469592,3STOLQE,£149.00,£89.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-white-topaz-earrings/13469592.html
258,Clogau Tree of Life White Topaz Pendant,13469593,3STOLQP,£169.00,£101.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-white-topaz-pendant/13469593.html
259,Tree of Life® Vine Ring,13469594,3STOLVR,£99.00,£59.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-vine-ring/13469594.html
260,Clogau Welsh Dragon Lapel Pin,13469616,3SWDRLP,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-welsh-dragon-lapel-pin/13469616.html
261,Welsh Poppy Ring,13469617,3SWPR1,£179.00,£107.40,https://www.clogauoutlet.co.uk/welsh-poppy-ring-sterling-silver-gold/13469617.html
262,Welsh Royalty Signet Ring,13469629,3SWRSR,£129.00,£77.40,https://www.clogauoutlet.co.uk/welsh-royalty-signet-ring-sterling-silver-gold/13469629.html
263,Clogau Welsh Rugby Union Milestones Bead Charm,13469644,3SWRURBC,£79.00,£47.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-welsh-rugby-union-milestones-bead-charm/13469644.html
264,Clogau Welsh Rugby Union Red Leather Bracelet,13469645,3SWRURLBR,£229.00,£137.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-welsh-rugby-union-red-leather-bracelet/13469645.html
265,Clogau Tree of Life Watch,13469646,4STCLW47,£350.00,£210.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-watch/13469646.html
266,Annwyl Celtic 5mm Ring,13469647,CWED5,£500.00,£300.00,https://www.clogauoutlet.co.uk/annwyl-celtic-5mm-ring-rose-gold/13469647.html
267,Clogau Bohemia Pendant,13469658,FDLP5,£520.00,£312.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-bohemia-pendant/13469658.html
268,Bohemia Ring,13469659,FDLR5,£260.00,£156.00,https://www.clogauoutlet.co.uk/bohemia-ring-rose-gold/13469659.html
269,Bohemia Stud Earrings,13469671,FDLSE5,£340.00,£204.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/bohemia-stud-earrings/13469671.html
270,Fairy Drop Earrings,13469672,FRZDE,£350.00,£210.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/fairy-drop-earrings/13469672.html
271,Honey Bee Stud Earrings,13469673,HNCBE,£350.00,£210.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/honey-bee-stud-earrings/13469673.html
272,Lovespoons Ring,13469674,LSPR,£390.00,£234.00,https://www.clogauoutlet.co.uk/lovespoons-ring-gold/13469674.html
273,Jewel Bloom Earrings,13469685,MGE,£500.00,£300.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/jewel-bloom-earrings/13469685.html
274,Clogau Jewel Bloom Pendant,13469686,MGP,£640.00,£384.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-jewel-bloom-pendant/13469686.html
275,Jewel Bloom Ring,13469687,MGR,£540.00,£324.00,https://www.clogauoutlet.co.uk/jewel-bloom-ring-rose-gold/13469687.html
276,Tree of Life® Heart Stud Earrings - Rose Gold,13469699,TLHE7,£300.00,£180.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-heart-stud-earrings-rose-gold/13469699.html
277,Clogau Tree of Life Heart Pendant - Rose Gold,13469700,TLHP7,£480.00,£288.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-heart-pendant-rose-gold/13469700.html
278,Tree of Life® Half Hoop Earrings - Rose Gold,13469701,TOLCE2,£280.00,£168.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-half-hoop-earrings-rose-gold/13469701.html
279,Clogau Tree of Life Circle Pendant - Rose Gold,13469702,TOLCP2,£510.00,£306.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-circle-pendant-rose-gold/13469702.html
280,Tree of Life® Pearl Earrings,13469703,TOLCPE2,£330.00,£198.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-pearl-earrings/13469703.html
281,Tree of Life® Circle Stud Earrings - Rose Gold,13469704,TOLE7,£239.00,£143.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-circle-stud-earrings-rose-gold/13469704.html
282,Tree of Life® Ring - Rose Gold,13469705,TOLER2,£330.00,£198.00,https://www.clogauoutlet.co.uk/tree-of-life-ring-rose-gold/13469705.html
283,Clogau Tree of Life Circle Pendant - Rose Gold,13469717,TOLP7,£440.00,£264.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-circle-pendant-rose-gold/13469717.html
284,Tree of Life® Ring - Rose Gold,13469718,TOLR4,£500.00,£300.00,https://www.clogauoutlet.co.uk/tree-of-life-ring-rose-gold/13469718.html
285,Welsh Poppy Diamond and Ruby Ring - Rose Gold,13469727,WPPR,£460.00,£276.00,https://www.clogauoutlet.co.uk/welsh-poppy-diamond-and-ruby-ring-rose-gold/13469727.html
286,Tree of Life® Sapphire and Topaz Stud Earrings - Silver,13469738,XX3STOLE05,£139.00,£83.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-sapphire-and-topaz-stud-earrings-silver/13469738.html
287,Gold Wishbone Wedding Ring,13469739,CENGWR,£290.00,£174.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/gold-wishbone-wedding-ring/13469739.html
288,2mm Court Shaped 20pt Diamond Engagement Ring,13469751,WCD20ENG,£900.00,£540.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/2mm-court-shaped-20pt-diamond-engagement-ring/13469751.html
289,2mm Court Shaped Wedding Ring,13469763,WCSWR,£310.00,£186.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/2mm-court-shaped-wedding-ring/13469763.html
290,Clogau Clogau 1854 Welsh Royalty Pendant,13525122,1854WRRP1,"£1,850.00","£1,110.00",https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-clogau-1854-welsh-royalty-pendant/13525122.html
291,Clogau Tree of Life Tie Clip,13525123,3STOLTC1,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-tie-clip/13525123.html
292,Tree of Life® Hoop Earrings (Small),13525124,ILHE(S),£440.00,£264.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-hoop-earrings-small/13525124.html
293,Clogau 1854 Tree of Life Pendant,13525125,1854TOLP1,"£1,850.00","£1,110.00",https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-1854-tree-of-life-pendant/13525125.html
294,Clogau Tree of Life Pearl Pendant,13525126,TOLPP6,£350.00,£210.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/clogau-tree-of-life-pearl-pendant/13525126.html
295,1854 18ct Gold 2mm Wedding Ring,13525127,1854WED2,£660.00,£396.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/1854-18ct-gold-2mm-wedding-ring/13525127.html
296,3mm Windsor Wedding Ring,13525137,18WED3DR,£880.00,£528.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/3mm-windsor-wedding-ring/13525137.html
297,4mm Windsor Wedding Ring,13525145,18WED4DR,"£1,100.00",£660.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/4mm-windsor-wedding-ring/13525145.html
298,5mm Windsor Wedding Ring,13525157,18WED5DR,"£1,320.00",£792.00,https://www.clogauoutlet.co.uk/clothing-accessories/5mm-windsor-wedding-ring/13525157.html
299,18ct Rose Gold Tree of Life® Wedding Ring,13525165,18WEDT5R,"£1,210.00",£726.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/18ct-rose-gold-tree-of-life-wedding-ring/13525165.html
300,18ct White Gold Tree of Life® Wedding Ring,13525180,18WEDT5W,"£1,210.00",£726.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/18ct-white-gold-tree-of-life-wedding-ring/13525180.html
301,18ct Gold Tree of Life® Wedding Ring,13525192,18WEDT5Y,"£1,210.00",£726.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/18ct-gold-tree-of-life-wedding-ring/13525192.html
302,3mm Windsor Wedding Ring - Platinum,13525202,PTWED3D,None,None,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/3mm-windsor-wedding-ring-platinum/13525202.html
303,2mm Windsor Wedding Ring,13525208,WED2DR,£230.00,£138.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/2mm-windsor-wedding-ring/13525208.html
304,Tree of Life® Wedding Ring - Rose Gold,13525218,WEDT5R,£550.00,£330.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-wedding-ring-rose-gold/13525218.html
305,Tree of Life® Wedding Ring - White Gold,13525231,WEDT5W,£550.00,£330.00,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/tree-of-life-wedding-ring-white-gold/13525231.html
306,Signature Button Stud Earrings,13525244,3SCBHSE1,£149.00,£89.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/signature-button-stud-earrings/13525244.html
307,Blossom Hoop Earrings,13525245,3SFCE1,£119.00,£71.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/blossom-hoop-earrings/13525245.html
308,Blossom Half Hoop Earrings,13525246,3SFCE2,£149.00,£89.40,https://www.clogauoutlet.co.uk/jewellery-clothing-women-acc/blossom-half-hoop-earrings/13525246.html
